accession_0,name,std_hccf_feed,std_hccf_large,std_hccf_small,std_hccf_mab,std_hccf_lmw1,std_hccf_lmw2,native_hccf_feed,native_hccf_large,native_hccf_small,native_hccf_mab,native_hccf_lmw1,std_pafvin_feed,std_pafvin_large,std_pafvin_small,std_pafvin_mab,native_pafvin_feed,native_pafvin_large,native_pafvin_small,native_pafvin_mab,pI_mean,mass_mean,cysteine_cont_percent_mean,cysteine_num_mean,net_charge_mean,net_charge_neg_mean,net_charge_pos_mean,charge_dens_C_m2_mean,charge_dens_neg_C_m2_mean,charge_dens_pos_C_m2_mean,accession_1,accession_2,desc_lower,desc_lower_2,Biophorum DTR,Biophorum high-risk,Levy 2014 - Association,Zhang 2016 - Pro A,Levy 2016 - Coelution,Molden 2021 - 29 DS,Falkenberg 2019 - 6 DS,Kreimer 2017 - 1 DS
XP_027243857.1,"malate dehydrogenase, cytoplasmic [Cricetulus griseus]",True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,True,True,False,6.545745518359671,36465.69200000005,0.8982035928143712,3.0,-1.1227881858666016,-43.983028058314034,42.86023987244743,-0.0029754663801104,-0.1165580676126911,0.1135826012325806,,,"malate dehydrogenase, cytoplasmic",malate dehydrogenase cytoplasmic,malate dehydrogenase cytoplasmic,,,,,,,
NP_001233673.1,glutathione S-transferase P 1 [Cricetulus griseus],True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,False,8.285847727883972,23637.941000000003,1.9047619047619049,4.0,1.866126944611452,-24.99822450425054,26.864351448862,0.0066025992812688,-0.0884469621004949,0.0950495613817638,,,glutathione s-transferase p 1,glutathione s transferase p 1,glutathione s transferase p 1,glutathione s transferase,,glutathione s transferase p,,glutathione s transferase p,,
XP_027272779.1,laminin subunit beta-1 isoform X3 [Cricetulus griseus],True,False,False,True,True,False,True,True,True,True,True,False,True,False,False,False,True,True,False,4.198082730136737,185852.9894000005,7.168246445497631,121.0,-88.4581901708005,-259.89872153587663,171.44053136507608,-0.0791538180882006,-0.2325615761082728,0.1534077580200721,,,laminin subunit beta-1 isoform x3,laminin subunit beta 1 isoform x3,laminin subunit beta 1,,,,laminin subunit beta 1,,,
XP_027251264.1,glutathione S-transferase Mu 3 [Cricetulus griseus],True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,False,6.788377268204553,26966.974800000015,3.9647577092511015,9.0,-0.3903372298734604,-32.991502843746325,32.60116561387286,-0.001264926649512,-0.1069122491032573,0.1056473224537453,,,glutathione s-transferase mu 3,glutathione s transferase mu 3,,glutathione s transferase,,,,glutathione s transferase,,
XP_027254077.1,calsyntenin-1 isoform X2 [Cricetulus griseus],True,True,True,True,True,False,True,True,True,True,True,False,True,False,False,False,True,True,False,4.279352761756565,109032.46480000054,2.2426095820591234,22.0,-67.15865022247087,-164.91827746787766,97.7596272454068,-0.0857521317644414,-0.2105773986365542,0.1248252668721128,,,calsyntenin-1 isoform x2,calsyntenin 1 isoform x2,,,,,calsyntenin 1,,,
XP_027278163.1,catalase isoform X1 [Cricetulus griseus],True,False,True,True,False,True,True,True,True,True,True,False,False,False,False,False,True,False,False,8.899132461696118,63128.31100000014,1.2612612612612613,7.0,8.322530288489306,-63.98935905964507,72.31188934813439,0.0152974646159559,-0.1176174699377756,0.1329149345537315,,,catalase isoform x1,catalase isoform x1,catalase,,,,,,,
XP_027264402.1,cofilin-1 [Cricetulus griseus],True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,False,8.963784571187354,18532.3089,2.409638554216868,4.0,2.0864070088909834,-27.989514828107264,30.075921836998248,0.0086821282909878,-0.1164722690752958,0.1251543973662836,,,cofilin-1,cofilin 1,cofilin 1,,,,,cofilin 1,,
XP_027246972.1,acid ceramidase isoform X2 [Cricetulus griseus],True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,True,True,False,9.601234685247483,50295.57350000001,2.0,9.0,7.873774198852551,-42.98737356889851,50.861147767751056,0.0168400469996198,-0.091939313092819,0.1087793600924388,,,acid ceramidase isoform x2,acid ceramidase isoform x2,,,,,,acid ceramidase,,
XP_027255228.1,tubulointerstitial nephritis antigen-like [Cricetulus griseus],True,True,True,False,True,True,True,True,True,True,True,False,True,True,False,True,True,True,False,7.257214381539067,52519.90600000006,5.161290322580645,24.0,1.500078578168183,-52.98441438954506,54.48449296771324,0.003117058133387,-0.1100978990163047,0.1132149571496917,,,tubulointerstitial nephritis antigen-like,tubulointerstitial nephritis antigen like,,,,,tubulointerstitial nephritis antigen like,,,
XP_027272306.1,peptidyl-prolyl cis-trans isomerase FKBP3 isoform X2 [Cricetulus griseus],True,False,False,False,True,True,True,False,False,True,True,False,False,False,False,False,False,False,False,9.8502670204443,25203.57320000001,0.4464285714285714,1.0,9.135640549382831,-32.98526542229464,42.120905971677466,0.030970231045583,-0.1118215286280455,0.1427917596736286,,,peptidyl-prolyl cis-trans isomerase fkbp3 isoform x2,peptidyl prolyl cis trans isomerase fkbp3 isoform x2,,,,peptidyl prolyl cis trans isomerase,,peptidyl prolyl cis trans isomerase,,
XP_027245745.1,F-actin-capping protein subunit alpha-2 isoform X2 [Cricetulus griseus],True,True,True,False,True,False,True,True,True,True,True,False,True,False,False,False,True,True,False,5.550430111465554,32980.67520000002,1.048951048951049,3.0,-6.073337153049312,-42.98343365726826,36.91009650421894,-0.0172094853231355,-0.1217984037476542,0.1045889184245187,,,f-actin-capping protein subunit alpha-2 isoform x2,f actin capping protein subunit alpha 2 isoform x2,,,actin,,actin,,,
XP_027280477.1,protein disulfide-isomerase A6 isoform X2 [Cricetulus griseus],True,False,False,True,True,True,True,True,True,True,True,False,True,False,False,False,True,False,False,4.493892891894249,48689.48980000004,1.5730337078651686,7.0,-12.85352734062136,-65.97531120790246,53.12178386728109,-0.0280917651745596,-0.1441909991441534,0.1160992339695937,,,protein disulfide-isomerase a6 isoform x2,protein disulfide isomerase a6 isoform x2,protein disulfide isomerase,protein disulfide isomerase,,,,,,protein disulfide isomeras
XP_027251276.1,glutathione S-transferase Y1 isoform X2 [Cricetulus griseus],True,False,False,True,True,True,True,True,True,True,True,False,False,False,False,False,True,False,False,9.272523125661252,21905.1622,1.6304347826086956,3.0,3.34588542342922,-26.99365619640997,30.339541619839192,0.0124545183131011,-0.1004795272072339,0.112934045520335,,,glutathione s-transferase y1 isoform x2,glutathione s transferase y1 isoform x2,,glutathione s transferase,,,,glutathione s transferase,,
XP_027259923.1,alpha-N-acetylgalactosaminidase [Cricetulus griseus],True,True,False,True,True,False,True,True,True,True,True,False,True,False,False,False,True,True,False,8.753927463354794,47222.11150000004,2.1686746987951806,9.0,3.3904888718262747,-42.995725698473485,46.38621457029976,0.0075627354367512,-0.0959051365927447,0.1034678720294959,,,alpha-n-acetylgalactosaminidase,alpha n acetylgalactosaminidase,,,,,alpha n acetylgalactosaminidase,,,
XP_027265895.1,dickkopf-related protein 3 isoform X1 [Cricetulus griseus],True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,False,True,True,False,3.917285742628765,38385.38870000006,6.0344827586206895,21.0,-33.265835633277284,-59.9649256959118,26.69909006263452,-0.0851924932254826,-0.153567810002801,0.0683753167773184,,,dickkopf-related protein 3 isoform x1,dickkopf related protein 3 isoform x1,,,,,dickkopf related protein 3,,,
XP_027247933.1,matrix metalloproteinase-19 [Cricetulus griseus],True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,False,True,True,False,8.248258150078629,58941.25660000008,0.7619047619047619,4.0,4.486484932084171,-54.99326553723679,59.47975046932096,0.0086325706101596,-0.1058140738283776,0.1144466444385373,,,matrix metalloproteinase-19,matrix metalloproteinase 19,matrix metalloproteinase 19,matrix metalloproteinase,,,,,,
XP_027248102.1,N-acetylglucosamine-6-sulfatase isoform X2 [Cricetulus griseus],True,False,False,True,True,False,True,True,False,True,True,False,False,False,False,False,False,False,False,8.59806413094597,60916.70750000009,2.4029574861367835,13.0,4.69463266053966,-52.99945490630255,57.69408756684221,0.0088367151138256,-0.0997609649273835,0.1085976800412092,,,n-acetylglucosamine-6-sulfatase isoform x2,n acetylglucosamine 6 sulfatase isoform x2,,,,,n acetylglucosamine 6 sulfatase,,,
XP_027274423.1,activator of 90 kDa heat shock protein ATPase homolog 1 isoform X1 [Cricetulus griseus],False,True,True,False,True,False,True,True,True,True,True,False,True,False,False,False,True,False,False,5.040463794491194,38128.67280000003,1.183431952662722,4.0,-7.584350444978079,-51.96885619969649,44.3845057547184,-0.01951030772026,-0.1336869101291841,0.1141766024089241,,,activator of 90 kda heat shock protein atpase homolog 1 isoform x1,activator of 90 kda heat shock protein atpase homolog 1 isoform x1,,,heat shock protein,,,,,
XP_027268236.1,vitamin K-dependent protein S [Cricetulus griseus],True,True,True,True,True,False,True,True,True,True,True,False,True,False,False,False,True,True,False,5.127305630567796,74694.49340000017,5.481481481481482,37.0,-8.334864590648717,-83.9760118434085,75.64114725275978,-0.0136947153836743,-0.1379779561796136,0.1242832407959393,,,vitamin k-dependent protein s,vitamin k dependent protein s,,,,,,vitamin k dependent protein s,,
XP_027262121.1,insulin-degrading enzyme isoform X4 [Cricetulus griseus],False,True,True,False,False,False,True,True,True,True,False,False,True,False,False,False,True,True,False,7.032335246429026,117735.77150000076,1.2745098039215683,13.0,0.4884561436660196,-133.95417403309145,134.44263017675746,0.0005925615577014,-0.1625040345073986,0.1630965960651,,,insulin-degrading enzyme isoform x4,insulin degrading enzyme isoform x4,,,insulin,,,,,
XP_027251272.1,glutathione S-transferase Mu 1 isoform X2 [Cricetulus griseus],True,False,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,5.663357800410411,25466.088800000016,1.834862385321101,4.0,-2.391827257591727,-30.993526818316408,28.601699560724683,-0.0080525821551192,-0.1043461312639599,0.0962935491088407,,,glutathione s-transferase mu 1 isoform x2,glutathione s transferase mu 1 isoform x2,,glutathione s transferase,,,,glutathione s transferase,,
XP_027255508.1,tissue alpha-L-fucosidase [Cricetulus griseus],True,True,True,True,True,False,True,True,True,True,True,False,True,True,False,True,True,True,False,6.485147522645714,53364.785300000025,0.8658008658008658,4.0,-3.775959338797798,-48.99469976013691,45.21874042133911,-0.0077631441577506,-0.100730141157916,0.0929669970001654,,,tissue alpha-l-fucosidase,tissue alpha l fucosidase,,,,,tissue alpha l fucosidase,,,
XP_027286240.1,flavin reductase (NADPH) isoform X2 [Cricetulus griseus],True,True,True,False,True,True,True,True,True,False,True,False,True,False,False,False,True,True,False,7.684112268272507,22166.1051,0.9708737864077668,2.0,1.916862814088323,-21.99608039871564,23.912943212803963,0.0070791040098479,-0.0812330125072328,0.0883121165170807,,,flavin reductase (nadph) isoform x2,flavin reductase (nadph) isoform x2,,,,,,flavin reductase,,
NP_001230907.1,tubulin alpha-1A chain [Cricetulus griseus],False,False,True,False,False,False,True,True,True,False,False,False,True,False,False,False,True,True,False,4.434755102615731,50135.06660000007,2.6607538802660757,12.0,-20.75872681648932,-64.978712105858,44.219985289368665,-0.0444924685785966,-0.1392697795103261,0.0947773109317294,,,tubulin alpha-1a chain,tubulin alpha 1a chain,tubulin alpha 1a chain,,,,,,,
XP_027280118.1,nucleoside diphosphate kinase B [Cricetulus griseus],True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,True,True,False,8.449171837648407,17339.8933,1.3157894736842104,2.0,1.8730157582704496,-20.991869637443365,22.864885395713817,0.00814749314317,-0.0913132274398588,0.0994607205830289,,,nucleoside diphosphate kinase b,nucleoside diphosphate kinase b,nucleoside diphosphate kinase b,,,,,,,
XP_027248597.1,glutathione S-transferase alpha-3 [Cricetulus griseus],False,False,False,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,8.847584130341664,25501.239300000016,0.4524886877828055,1.0,2.8710727721552933,-32.99195380947715,35.86302658163244,0.0096571770960185,-0.1109721577842862,0.1206293348803047,,,glutathione s-transferase alpha-3,glutathione s transferase alpha 3,,glutathione s transferase,,,,glutathione s transferase,,
NP_001233709.1,peroxiredoxin-2 [Cricetulus griseus],True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,False,5.0268530043170365,21812.4509,1.5151515151515151,3.0,-4.866644350471158,-26.993430713544555,22.1267863630734,-0.0181665929251899,-0.1007632019339584,0.0825966090087684,,,peroxiredoxin-2,peroxiredoxin 2,,peroxiredoxin,,,,,,
XP_027249675.1,F-actin-capping protein subunit alpha-1 isoform X2 [Cricetulus griseus],True,False,True,True,True,False,True,True,True,True,True,False,False,False,False,False,True,False,False,5.217351809560656,32909.40830000002,1.048951048951049,3.0,-7.075454396605076,-43.985797874449936,36.91034347784485,-0.0200780318941942,-0.1248185915859391,0.1047405596917448,,,f-actin-capping protein subunit alpha-1 isoform x2,f actin capping protein subunit alpha 1 isoform x2,,,actin,,actin,,,
XP_027262178.1,lysosomal acid lipase/cholesteryl ester hydrolase [Cricetulus griseus],True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,False,7.905739320470202,45634.76430000001,1.2594458438287155,5.0,4.793257303941871,-35.99713589518065,40.79039319912252,0.0109382300832394,-0.0821455911484899,0.0930838212317293,,,lysosomal acid lipase/cholesteryl ester hydrolase,lysosomal acid lipase/cholesteryl ester hydrolase,lysosomal acid lipase,lysosomal acid lipase,,,,lipase,,lysosomal acid lipase
XP_027285515.1,peptidyl-prolyl cis-trans isomerase FKBP9 [Cricetulus griseus],True,True,False,False,False,False,True,True,True,True,False,False,False,False,False,False,True,False,False,4.418044633701549,63007.67980000005,1.4035087719298245,8.0,-23.23891944451077,-76.98160877519497,53.74268933068418,-0.0427694624448888,-0.1416787916202158,0.098909329175327,,,peptidyl-prolyl cis-trans isomerase fkbp9,peptidyl prolyl cis trans isomerase fkbp9,,,,peptidyl prolyl cis trans isomerase,,peptidyl prolyl cis trans isomerase,,
XP_027256943.1,ribonuclease T2 isoform X1 [Cricetulus griseus],True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,False,True,True,False,6.712571742409969,29589.46580000001,3.861003861003861,10.0,-1.5556192125663064,-31.99055554550806,30.434936332941756,-0.0047386947591653,-0.0974489622407026,0.0927102674815373,,,ribonuclease t2 isoform x1,ribonuclease t2 isoform x1,,,,,ribonuclease t2,,,
XP_027259772.1,galectin-1 [Cricetulus griseus],True,True,True,False,True,True,True,True,True,True,True,False,True,True,False,True,True,True,False,5.4611837658971885,14802.646199999986,4.444444444444445,6.0,-3.126091243072925,-17.991797558864477,14.865706315791552,-0.0151108512351406,-0.086968471239349,0.0718576200042083,,,galectin-1,galectin 1,galectin 1,,,,,galectin 1,,
XP_027268506.1,follistatin-related protein 1 [Cricetulus griseus],True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,False,5.30686470315532,34635.701300000044,6.535947712418301,20.0,-7.805500524875149,-48.97596615519822,41.17046563032307,-0.0214074507266183,-0.1343220180326237,0.1129145673060053,,,follistatin-related protein 1,follistatin related protein 1,follistatin related protein 1,,,,follistatin related protein 1,follistatin related protein 1,,
XP_027274741.1,transgelin-2 [Cricetulus griseus],True,True,True,False,True,True,True,True,True,False,True,False,True,False,False,False,True,True,False,9.487010549683776,22455.29349999999,1.507537688442211,3.0,3.086399584046405,-20.992792909488667,24.07919249353507,0.011300209992929,-0.0768607439689596,0.0881609539618887,,,transgelin-2,transgelin 2,transgelin 2,,,,,,,
XP_027288193.1,V-type proton ATPase subunit S1 isoform X2 [Cricetulus griseus],True,False,False,False,True,True,True,True,True,True,True,False,False,False,False,False,True,True,False,5.677267537511878,51606.87010000013,0.4319654427645789,2.0,-8.033672783294797,-40.99311197223344,32.95943918893864,-0.0168897275752326,-0.0861825608719997,0.0692928332967671,,,v-type proton atpase subunit s1 isoform x2,v type proton atpase subunit s1 isoform x2,,,v type proton atpase subunit s1,,,,,
XP_027262856.1,glutathione S-transferase omega-1 isoform X6 [Cricetulus griseus],True,False,False,False,True,True,True,False,False,True,True,False,False,False,False,False,False,False,False,8.908625081490968,27458.42410000002,2.083333333333333,5.0,2.613044708712009,-33.98758695830902,36.60063166702104,0.0083664898346211,-0.1088220189428585,0.1171885087774797,,,glutathione s-transferase omega-1 isoform x6,glutathione s transferase omega 1 isoform x6,,glutathione s transferase,,,,glutathione s transferase,,
XP_027271994.1,heat shock protein beta-1 isoform X2 [Cricetulus griseus],True,True,True,False,True,True,True,True,True,True,True,False,True,False,False,True,True,True,False,6.702001644020172,23418.99699999999,0.4694835680751174,1.0,-0.8579865983189687,-25.98597782982191,25.127991231502943,-0.0030545588479937,-0.0925139141559676,0.0894593553079738,,,heat shock protein beta-1 isoform x2,heat shock protein beta 1 isoform x2,,,heat shock protein,,,,,
XP_027269238.1,ubiquitin-conjugating enzyme E2 variant 2 isoform X3 [Cricetulus griseus],True,False,False,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,8.372403081015596,16352.540599999986,0.6896551724137931,1.0,0.8253929561270904,-17.992699490326135,18.818092446453225,0.0037335111598215,-0.0813866217827338,0.0851201329425554,,,ubiquitin-conjugating enzyme e2 variant 2 isoform x3,ubiquitin conjugating enzyme e2 variant 2 isoform x3,,,,,,ubiquitin,,ubiquitin
XP_027269644.1,GTP-binding nuclear protein Ran isoform X2 [Cricetulus griseus],True,True,True,False,True,True,True,True,True,False,True,False,True,True,False,True,True,True,False,7.589010734891813,24422.80320000001,1.3888888888888888,3.0,1.3936707497399978,-27.99345473973752,29.38712548947752,0.0048247709229484,-0.0969109859601754,0.1017357568831239,,,gtp-binding nuclear protein ran isoform x2,gtp binding nuclear protein ran isoform x2,gtp binding nuclear protein,,,,,,,
NP_001230962.1,40S ribosomal protein SA [Cricetulus griseus],True,True,True,False,False,True,True,True,True,False,False,False,True,True,False,False,True,True,False,4.325849782220339,32880.705800000054,0.6779661016949152,2.0,-12.115071112492243,-40.98014348243196,28.86507236993972,-0.0343989669037859,-0.1163571048221926,0.0819581379184066,,,40s ribosomal protein sa,40s ribosomal protein sa,40s ribosomal protein sa,,,,,,,
XP_027284048.1,ubiquitin carboxyl-terminal hydrolase 5 isoform X2 [Cricetulus griseus],False,True,True,False,False,False,True,True,True,False,True,False,True,True,False,False,True,True,False,4.407353544912662,93373.69670000055,1.7964071856287425,15.0,-34.95094302295191,-131.94817806387016,96.99723504091826,-0.049486801214445,-0.1868245229940424,0.1373377217795973,,,ubiquitin carboxyl-terminal hydrolase 5 isoform x2,ubiquitin carboxyl terminal hydrolase 5 isoform x2,,,,,,ubiquitin,,ubiquitin
XP_027263463.1,lysosomal Pro-X carboxypeptidase isoform X2 [Cricetulus griseus],True,False,True,True,False,False,True,True,True,True,True,False,False,False,False,False,True,False,False,6.4837611998815055,57289.600000000064,2.1653543307086616,11.0,-3.777419389439051,-48.99541888990044,45.21799950046139,-0.0074072703896808,-0.0960767863340331,0.0886695159443523,,,lysosomal pro-x carboxypeptidase isoform x2,lysosomal pro x carboxypeptidase isoform x2,,,,,,carboxypeptidase,,
NP_001233680.1,aldose reductase-related protein 2 [Cricetulus griseus],True,True,True,False,True,True,True,True,True,True,True,False,True,True,False,True,True,True,False,6.715764391922964,36339.37980000005,1.5822784810126582,5.0,-1.550660270024593,-43.98275989428134,42.432099624256736,-0.0041188739875727,-0.1168272955283359,0.1127084215407631,,,aldose reductase-related protein 2,aldose reductase related protein 2,,,,aldose reductase related protein 2,,,,
XP_027249021.1,glucosylceramidase [Cricetulus griseus],True,True,True,False,False,True,True,True,True,True,True,False,True,True,False,True,True,True,False,8.950252151215853,57391.91830000012,1.3592233009708738,7.0,5.698491419262121,-44.99714798863555,50.69563940789767,0.0111610809358193,-0.0881315375652933,0.0992926185011127,,,glucosylceramidase,glucosylceramidase,,,,,,glucosylceramidase,,
XP_027284190.1,peptidyl-prolyl cis-trans isomerase FKBP4 isoform X2 [Cricetulus griseus],True,True,True,False,True,False,True,True,True,True,True,False,False,False,False,False,True,False,False,4.977048213493887,51531.66660000007,1.310043668122271,6.0,-11.792587926384856,-77.95983987569699,66.16725194931213,-0.0248164611277108,-0.1640596065829715,0.1392431454552606,,,peptidyl-prolyl cis-trans isomerase fkbp4 isoform x2,peptidyl prolyl cis trans isomerase fkbp4 isoform x2,,,,peptidyl prolyl cis trans isomerase,,peptidyl prolyl cis trans isomerase,,
XP_027264700.1,cathepsin D [Cricetulus griseus],True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,False,True,True,False,7.048577719975857,44110.390099999975,1.96078431372549,8.0,0.1271119003174469,-37.99556288634139,38.122674786658834,0.0002967147471807,-0.0886922767078163,0.0889889914549971,,,cathepsin d,cathepsin d,cathepsin d,cathepsin d,cathepsin d,,cathepsin d,cathepsin d,,
XP_027249161.1,LOW QUALITY PROTEIN: protein S100-A13 [Cricetulus griseus],True,False,False,False,True,True,True,False,False,True,True,False,False,False,False,False,False,False,False,5.18455640017299,18553.06260000001,1.2048192771084338,2.0,-2.643229281609107,-24.98433274240376,22.341103460794656,-0.0109910187741149,-0.1038893115103983,0.0928982927362833,,,low quality protein: protein s100-a13,low quality protein: protein s100 a13,,protein s100,,,,,,
XP_027261702.1,group XV phospholipase A2 isoform X2 [Cricetulus griseus],True,True,False,False,True,False,True,True,True,True,True,False,True,False,False,False,True,False,False,6.548818081455353,47235.56230000006,1.4563106796116505,6.0,-3.509437065176684,-46.99280516366039,43.4833680984837,-0.0078265720037914,-0.1048010169274864,0.0969744449236949,,,group xv phospholipase a2 isoform x2,group xv phospholipase a2 isoform x2,,,,,,lipase,,
XP_027269010.1,ubiquitin-conjugating enzyme E2 L3 isoform X2 [Cricetulus griseus],True,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,8.358680470876568,15757.830799999983,1.4705882352941175,2.0,1.3473226568023555,-20.992792909488667,22.340115566291026,0.0062467507452102,-0.0973313586684755,0.1035781094136858,,,ubiquitin-conjugating enzyme e2 l3 isoform x2,ubiquitin conjugating enzyme e2 l3 isoform x2,,,,,,ubiquitin,,ubiquitin
NP_001233649.1,heat shock protein 105 kDa [Cricetulus griseus],False,True,True,False,False,False,True,True,True,False,False,False,True,False,False,False,True,True,False,4.9844464869244565,96149.8839000004,2.097902097902098,18.0,-21.411567022235083,-138.92522176492113,117.51365474268606,-0.0297300835306295,-0.1928984666695912,0.1631683831389617,,,heat shock protein 105 kda,heat shock protein 105 kda,,,heat shock protein,,,,,
XP_027280693.1,brain-specific serine protease 4 isoform X1 [Cricetulus griseus],True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,False,True,False,False,7.645898587098376,40185.91950000003,3.252032520325204,12.0,1.6634134905981162,-31.987785729372163,33.65119921997027,0.0041317223774294,-0.0794538765312912,0.0835855989087207,,,brain-specific serine protease 4 isoform x1,brain specific serine protease 4 isoform x1,serine protease,serine protease,,,,,,
XP_027266901.1,glutathione S-transferase A4 [Cricetulus griseus],True,False,False,True,True,True,True,False,False,True,True,False,False,False,False,False,False,False,False,6.790796808150314,25757.65170000001,0.0,0.0,-0.3872990995280121,-32.98871168702678,32.601412587498764,-0.0012940642195767,-0.1102236268975008,0.1089295626779241,,,glutathione s-transferase a4,glutathione s transferase a4,,glutathione s transferase,,,,glutathione s transferase,,
XP_027242786.1,dihydropteridine reductase [Cricetulus griseus],False,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,True,False,False,8.45423679108849,25594.021899999992,1.6597510373443984,4.0,1.8742788121628104,-22.98984566287328,24.86412447503609,0.0062891027537851,-0.0771419389309683,0.0834310416847535,,,dihydropteridine reductase,dihydropteridine reductase,,,,,,dihydropteridine reductase,,
XP_027264462.1,copper chaperone for superoxide dismutase [Cricetulus griseus],True,True,True,False,True,False,True,True,True,True,True,False,True,False,False,False,True,True,False,5.10394402135161,29280.58740000002,3.2846715328467155,9.0,-7.808245660211712,-35.98328681450116,28.175041154289445,-0.0239522949772689,-0.1103810430074553,0.0864287480301863,,,copper chaperone for superoxide dismutase,copper chaperone for superoxide dismutase,,,,,,copper chaperone for superoxide dismutase,,
XP_027246558.1,ubiquitin-conjugating enzyme E2 K isoform X1 [Cricetulus griseus],True,False,False,False,True,True,True,False,False,True,True,False,False,False,False,False,False,False,False,4.863049594421736,22406.3792,1.0,2.0,-3.648418981956995,-26.98901849559983,23.34059951364284,-0.013377360734537,-0.0989584359889144,0.0855810752543774,,,ubiquitin-conjugating enzyme e2 k isoform x1,ubiquitin conjugating enzyme e2 k isoform x1,,,,,,ubiquitin,,ubiquitin
XP_027243869.1,actin-related protein 2 [Cricetulus griseus],False,True,True,False,False,True,True,True,True,True,True,False,True,False,False,False,True,True,False,6.7567708271024935,44760.25870000003,1.269035532994924,5.0,-1.0726986477031846,-53.98164725901847,52.90894861131529,-0.002479683167966,-0.1247856351584646,0.1223059519904986,,,actin-related protein 2,actin related protein 2,,,actin,,actin,,,
XP_027282301.1,C-C motif chemokine 2 [Cricetulus griseus],True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,True,True,False,10.250850262789596,15858.184099999982,4.195804195804196,6.0,8.081137527694924,-11.998094965440153,20.07923249313508,0.0373092953860044,-0.0553932497251565,0.092702545111161,,,c-c motif chemokine 2,c c motif chemokine 2,c c motif chemokine,,,,,c c motif chemokine,,
XP_027287131.1,calmodulin-3 isoform X3 [Cricetulus griseus],True,False,False,True,True,True,True,False,False,True,True,False,False,False,False,False,False,False,False,3.469891823283795,16837.418399999988,0.0,0.0,-23.899148594311075,-38.97941898144979,15.080270387138718,-0.1060178387081001,-0.1729146851488466,0.0668968464407465,,,calmodulin-3 isoform x3,calmodulin 3 isoform x3,calmodulin,,,,,,,
XP_027249923.1,ubiquitin-conjugating enzyme E2 N isoform X2 [Cricetulus griseus],True,False,False,False,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,6.51999799971773,17137.61179999998,0.6578947368421052,1.0,-0.6501967127434287,-19.99207109411581,19.34187438137239,-0.002850524348674,-0.0876471448059859,0.0847966204573119,,,ubiquitin-conjugating enzyme e2 n isoform x2,ubiquitin conjugating enzyme e2 n isoform x2,,,,,,ubiquitin,,ubiquitin
XP_027267547.1,amyloid-like protein 2 isoform X6 [Cricetulus griseus],False,False,False,False,True,True,True,True,False,True,True,False,False,False,False,False,True,True,False,4.205097874162123,87689.73130000036,2.442159383033419,19.0,-56.35407058169788,-141.92525116233273,85.57118058063486,-0.0832031275817264,-0.2095434217552906,0.1263402941735642,,,amyloid-like protein 2 isoform x6,amyloid like protein 2 isoform x6,,,,,amyloid like protein 2,,,
XP_027281700.1,transforming growth factor beta receptor type 3 [Cricetulus griseus],True,False,False,True,True,True,True,True,False,True,True,False,False,False,False,False,True,True,False,5.909313204462807,93764.19710000049,1.884570082449941,16.0,-14.60473862146728,-93.96240302465864,79.35766440319135,-0.0206212956596217,-0.1326710832614244,0.1120497876018026,,,transforming growth factor beta receptor type 3,transforming growth factor beta receptor type 3,,transforming growth factor,,,,,,
XP_027246161.1,cathepsin B [Cricetulus griseus],True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,False,True,True,False,6.099707830160757,37503.76550000001,4.71976401179941,16.0,-6.033365522304197,-37.99232076389102,31.958955241586825,-0.0156924194141005,-0.0988157322373412,0.0831233128232407,,,cathepsin b,cathepsin b,cathepsin b,cathepsin b,,,cathepsin b,cathepsin b,,
XP_027256217.1,phospholipase A-2-activating protein [Cricetulus griseus],False,True,True,False,True,False,True,True,True,False,True,False,True,False,False,False,True,True,False,6.088309318824821,87182.15590000064,3.270440251572327,26.0,-8.708397124194212,-88.96991589350527,80.26151876931105,-0.0129072387183034,-0.1318676590889983,0.1189604203706948,,,phospholipase a-2-activating protein,phospholipase a 2 activating protein,,,,,,lipase,,
