accession,name,std_hccf_feed,std_hccf_large,std_hccf_small,std_hccf_mab,std_hccf_lmw1,std_hccf_lmw2,native_hccf_feed,native_hccf_large,native_hccf_small,native_hccf_mab,native_hccf_lmw1,std_pafvin_feed,std_pafvin_large,std_pafvin_small,std_pafvin_mab,native_pafvin_feed,native_pafvin_large,native_pafvin_small,native_pafvin_mab,pI_mean,mass_mean,cysteine_cont_percent_mean,cysteine_num_mean,net_charge_mean,net_charge_neg_mean,net_charge_pos_mean,charge_dens_C_m2_mean,charge_dens_neg_C_m2_mean,charge_dens_pos_C_m2_mean,desc_lower,desc_lower_2,high_risk_name,impact,impact_type,function
XP_027267631.1,sialate O-acetylesterase isoform X2 [Cricetulus griseus],TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9.36392240378821,61416.5681000002,2.54545454545455,14,8.69903906943021,-45.9953254707379,54.6943645401681,0.0162852502912451,-0.0861066816161927,0.102391931907438,sialate o-acetylesterase isoform x2,sialate o acetylesterase isoform x2,sialate o acetylesterase,Formulation,Degradation of polysorbates,Hydrolyzes carboxylic acid ester bonds
XP_027264538.1,glutathione S-transferase P 2 isoform X2 [Cricetulus griseus],FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9.63268311642015,25531.3015,0.900900900900901,2,6.39330245915343,-25.9947809251277,32.3880833842812,0.021487710007689,-0.0873677286193206,0.10885543862701,glutathione s-transferase p 2 isoform x2,glutathione s transferase p 2 isoform x2,glutathione s transferase,Immunogenicity,Immunogenic response,Conjugates reduced glutathione to exogenous and endogenous hydrophobic electrophiles
XP_027248601.1,glutathione S-transferase A6 isoform X2 [Cricetulus griseus],FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9.31148656731951,19823.0497,0,0,3.60704458989196,-21.9944379969068,25.6014825867988,0.0143510843610047,-0.0875076609951063,0.101858745356111,glutathione s-transferase a6 isoform x2,glutathione s transferase a6 isoform x2,glutathione s transferase,Immunogenicity,Immunogenic response,Conjugates reduced glutathione to exogenous and endogenous hydrophobic electrophiles
NP_001231068.1,C-X-C motif chemokine 3 precursor [Cricetulus griseus],FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,10.3435330491885,11036.0328,3.96039603960396,4,4.34759204675986,-9.99457930773844,14.3421713544983,0.0255595762914387,-0.0587583217490154,0.0843178980404542,c-x-c motif chemokine 3 precursor,c x c motif chemokine 3 precursor,c x c motif chemokine 3,Biological function in humans,Immunogenic response,Cytokine with potential oncogenic properties
XP_027251268.1,glutathione S-transferase Mu 2 isoform X2 [Cricetulus griseus],FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,6.78853412830356,25550.1509,1.85185185185185,4,-0.392140792443069,-32.9938003535677,32.6016595611247,-0.0013173258943566,-0.110836690282092,0.109519364387736,glutathione s-transferase mu 2 isoform x2,glutathione s transferase mu 2 isoform x2,glutathione s transferase,Immunogenicity,Immunogenic response,Conjugates reduced glutathione to exogenous and endogenous hydrophobic electrophiles
XP_027244681.1,lipoprotein lipase isoform X1 [Cricetulus griseus],FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8.67622921516636,54232.0598,2.47422680412371,12,5.75421441704352,-55.9851842573038,61.7393986743473,0.0117038521575758,-0.113871724630447,0.125575576788023,lipoprotein lipase isoform x1,lipoprotein lipase isoform x1,lipoprotein lipase,Formulation,Degradation of polysorbates,Catalyzes the hydrolysis of triacylglycerol of LDL and regulates the plasma concentrations of triglycerides and HDL
XP_027286179.1,transforming growth factor beta-1 proprotein isoform X2 [Cricetulus griseus],FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9.69637966583268,44307.4984,3.07692307692308,12,10.7051047505557,-40.9910186046938,51.6961233552495,0.0249145446290513,-0.0954005202390853,0.120315064868137,transforming growth factor beta-1 proprotein isoform x2,transforming growth factor beta 1 proprotein isoform x2,transforming growth factor,Biological function in humans,Cytokine release,Maintains immune homeostasis and immune suppression
XP_027247624.1,peptidyl-prolyl cis-trans isomerase A-like [Cricetulus griseus],FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7.05314927662965,17911.0997,2.4390243902439,4,0.13544559326994,-18.9911237958776,19.1265693891475,0.0005765852989963,-0.0808442897828345,0.0814208750818308,peptidyl-prolyl cis-trans isomerase a-like,peptidyl prolyl cis trans isomerase a like,peptidyl prolyl cis trans isomerase a,Drug quality,Aggregation of drugs,Catalyzes the cis–trans isomerization of peptide bonds N-terminal to proline residues
XP_027280693.1,brain-specific serine protease 4 isoform X1 [Cricetulus griseus],TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,7.64589858709838,40185.9195,3.2520325203252,12,1.66341349059812,-31.9877857293722,33.6511992199703,0.0041317223774294,-0.0794538765312912,0.0835855989087207,brain-specific serine protease 4 isoform x1,brain specific serine protease 4 isoform x1,serine protease,Drug quality,Modification of drug,Degrades proteoglycans and potentially clip N-terminus
XP_027285235.1,"serine protease HTRA2, mitochondrial [Cricetulus griseus]",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,10.0520321436611,47798.3534,0.223214285714286,1,8.40462657982696,-39.9845316741837,48.3891582540107,0.0185961618762024,-0.0884701796677053,0.107066341543908,"serine protease htra2, mitochondrial",serine protease htra2 mitochondrial,serine protease,Drug quality,Modification of drug,Degrades proteoglycans and potentially clip N-terminus
